bng_x,bng_y,class,conf,votes,status,nearest_dist_m
221639.54697843155,591784.0764487974,shieling,0.2510118881861369,6,novel,16688.7
223481.0717859149,591451.9489411464,shieling,0.43018072098493576,8,novel,15118.6
224140.89244065312,591770.8739449921,roundhouse,0.4719155083100001,6,novel,15038.2
225175.0251647916,591808.7758631117,smallcairn,0.27185748765865964,6,novel,11715.0
220195.3200636613,591120.350971016,roundhouse,0.3600334882736206,5,novel,16273.8
221039.10816143532,591213.2758032647,roundhouse,0.41291865706443787,6,novel,16466.3
220765.29848957108,590781.6162071684,smallcairn,0.3556391835212708,5,novel,14744.9
220769.8043606613,590683.6095908328,smallcairn,0.2647796486105238,7,novel,14695.3
220710.40988860914,590674.9428389517,smallcairn,0.2653152674436569,5,novel,14743.9
220955.76157022303,590989.1086578997,roundhouse,0.4368672430515289,5,novel,16232.6
220970.3137931173,590814.5172046201,roundhouse,0.4017011299729347,6,novel,16061.8
220901.71294108,591064.1871266119,shieling,0.3808206270138423,6,novel,16604.9
222102.46218347282,590793.6088648328,roundhouse,0.49395801765578135,7,novel,15697.3
222292.85104518177,590830.0684935824,shieling,0.4230392227570216,6,novel,15570.4
224073.76500782144,590919.501680175,roundhouse,0.42481810067381176,7,novel,14425.3
220689.4942458497,590654.628462682,smallcairn,0.38825325880731854,7,novel,14753.1
220721.68350800837,590582.0953072181,roundhouse,0.5431254860013723,8,novel,15797.6
222418.34801453946,590388.1401664321,roundhouse,0.1939064030136381,7,novel,15189.4
223247.45243460964,590511.0341307173,smallcairn,0.3767957866191864,5,novel,12459.9
223762.12216874358,590546.321266595,roundhouse,0.3103800639510155,6,novel,14354.5
220417.71372354834,590020.2525798578,shieling,0.41735132969915867,8,novel,15720.8
222424.26258069853,590385.9736844541,shieling,0.32265688975652057,6,novel,15184.8
224216.4425028054,599804.8587773982,shieling,0.32870110621054965,6,novel,19350.5
224284.80727405922,599808.6285584257,shieling,0.24939158260822297,5,novel,19302.0
223609.60060824812,599040.4904549528,shieling,0.4591096689303716,6,novel,19320.9
221556.6012671678,598402.7581680419,shieling,0.23417511795248305,7,novel,20600.4
220767.33343748888,598189.802267652,shieling,0.3919426381587982,5,novel,21147.0
221272.13846091603,598020.9391548609,shieling,0.27099997997283937,5,novel,20630.1
221079.18150781325,597954.6867463656,shieling,0.3752490835530417,7,novel,20757.9
221043.76778048387,597957.3521416767,shieling,0.36705433080593747,6,novel,20789.4
229467.65801445078,597583.3431660604,shieling,0.21764151453971864,5,novel,14068.9
221367.94628142685,597030.7764394897,shieling,0.3807936119181769,7,novel,20033.2
221233.04544850785,597134.3945605372,shieling,0.19062342643737792,5,novel,20201.9
228652.53223790272,596893.0831344043,shieling,0.28560902178287506,5,novel,14121.4
229046.54032714042,597090.7425659274,shieling,0.4612688471873601,6,novel,13987.1
220442.8084543218,596575.891990575,shieling,0.21788563430309296,5,novel,20621.7
220705.73577367325,596514.1981838896,shieling,0.4036868342331478,7,novel,20360.5
229955.70568534898,596721.4213950648,shieling,0.23847773174444833,6,novel,13099.4
220335.8188878196,596411.2484849441,shieling,0.3261912961800893,6,novel,20640.4
