CANMOREID,NMRSNAME,SITETYPE,COUNTY,GRIDREF,XCOORD,YCOORD,URL,det_class
22723,INVERLIEVER,CAIRN (PREHISTORIC),ARGYLL,NM 8899 0521,188990.0,705210.0,https://canmore.org.uk/site/22723/,cairn
22724,CREAG LUARAGAIN,SHIELING HUT(S) (POST MEDIEVAL),ARGYLL,NM 8817 0787,188170.0,707870.0,https://canmore.org.uk/site/22724/,shieling
22728,INVERLIEVER,CAIRN(S) (PERIOD UNASSIGNED),ARGYLL,NM 88 05,188000.0,705000.0,https://canmore.org.uk/site/22728/,cairn
22730,"EILEAN CARNAICH, LOCH CRAIGNISH",CAIRN (PREHISTORIC),ARGYLL,NM 8145 0501,181450.0,705010.0,https://canmore.org.uk/site/22730/,cairn
22734,SLUGGAN,CAIRN (PREHISTORIC),ARGYLL,NM 8394 0768,183940.0,707680.0,https://canmore.org.uk/site/22734/,cairn
22738,BARBRECK,CAIRN (PREHISTORIC),ARGYLL,NM 8327 0657,183270.0,706570.0,https://canmore.org.uk/site/22738/,cairn
22296,"CRANNICH, MULL",SHIELING HUT (POST MEDIEVAL),ARGYLL,NM 522 434,152200.0,743400.0,https://canmore.org.uk/site/22296/,shieling
22297,"CRANNICH, MULL",SHIELING HUT(S) (POST MEDIEVAL),ARGYLL,NM 5165 4446,151650.0,744460.0,https://canmore.org.uk/site/22297/,shieling
22302,"TORR NAM FIANN, KILLIECHRONAN, MULL","DUN (IRON AGE), ENCLOSURE (POST MEDIEVAL), FARMSTEAD (POST MEDIEVAL), SETTLEMENT (EARLY MEDIEVAL), SHIELING HUT(S) (POST MEDIEVAL)",ARGYLL,NM 5390 4157,153900.0,741570.0,https://canmore.org.uk/site/22302/,shieling
22326,"CARN NA CAILLICHE, KILLUNDINE",CAIRN (PERIOD UNASSIGNED),ARGYLL,NM 5789 5031,157890.0,750310.0,https://canmore.org.uk/site/22326/,cairn
22327,RHEMORE,CAIRN (PERIOD UNASSIGNED),ARGYLL,NM 571 503,157100.0,750300.0,https://canmore.org.uk/site/22327/,cairn
22329,GLEANN NAN IOMAIREAN,SHIELING HUT(S) (POST MEDIEVAL),ARGYLL,NM 60027 50426,160027.0,750426.0,https://canmore.org.uk/site/22329/,shieling
22331,"ARDNACROSS, MULL",CAIRN (PERIOD UNASSIGNED),ARGYLL,NM 5502 5014,155020.0,750140.0,https://canmore.org.uk/site/22331/,cairn
